新闻,#genre#

23 ABC (KERO),https://content.uplynk.com/channel/ff809e6d9ec34109abfb333f0d4444b5.m3u8
24/7 Retro TV,http://247retrotv.com:1935/live/smil:247retro.smil/chunklist_w1193920237_b1928000_sleng.m3u8
24/7 Retro TV,http://247retrotv.com:1935/live/smil:247retro.smil/playlist.m3u8
30A Investment Pitch,http://www.30a-tv.com/InvPit.m3u8?fluxustv.m3u8
30A Music,http://30a-tv.com/music.m3u8?fluxustv.m3u8
30A Sidewalks,http://30a-tv.com/sidewalks.m3u8
30A TV,http://30a-tv.com/my999.m3u8
30A TV,http://30a-tv.com/my999.m3u8?fluxustv.m3u8
3ABN Latino,http://uni5rtmp.tulix.tv:1935/bettervida/bettervida/playlist.m3u8
3ABN Latino,https://moiptvhls-i.akamaihd.net/hls/live/652315/secure/master.m3u8
3News Now (KMTV-TV),http://content.uplynk.com/channel/328d1434fb51476cb6567c74d5b2cc70.m3u8
7News Boston (WHDH),https://bcsecurelivehls-i.akamaihd.net/hls/live/598046/4744899807001_1/livestream/master.m3u8
7News Boston (WHDH),https://bcsecurelivehls-i.akamaihd.net/hls/live/598046/4744899807001_1/livestream/master_540-57.m3u8
ABC 10 Miami FL (WPLG),http://190.80.3.28/ABC/ABC.isml/index.m3u8
ABC 2 Baton Rouge LA (WBRZ-HD),http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
ABC 2 Baton Rouge LA (WBRZ-HD),http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8?fluxustv.m3u8
ABC 7 Los Angeles CA (KABC-TV),https://content-ausc1.uplynk.com/channel/7f4366ed88e344da86947eb0fa080ec2/f.m3u8?exp=1527750966&ct=c&cid=7f4366ed88e344da86947eb0fa080ec2&sig=37af99214f85e55b1dfbec4030d06a8dee848131f8be1421ef36fbbae30e5387&pbs=cc5c74a2900d47b48ce4ec207b247a2d
ABC 7 Sarasota FL (WWSB),http://live.field59.com/wwsb/ngrp:wwsb1_all/playlist.m3u8
ABC 7 Sarasota FL (WWSB),https://d2nt5wxzqbe1ad.cloudfront.net/out/raycom-wwsb1-hls/live.m3u8
ABC 9 Chattanooga TN (WTVC),http://wxintribune-lh.akamaihd.net/i/WXINTribune_1@120151/master.m3u8
ABC 9 Orlando FL (WFTV-HD),http://svc-lvanvato-cxtv-wftv.cmgvideo.com/wftv/2564k/index.m3u8
ABC News Digital 1,https://abclive1-lh.akamaihd.net/i/abc_live01@423395/master.m3u8
ABC News Digital 10,https://abclive1-lh.akamaihd.net/i/abc_live10@420897/master.m3u8
ABC News Digital 2,https://abclive1-lh.akamaihd.net/i/abc_live02@423396/master.m3u8
ABC News Digital 3,https://abclive1-lh.akamaihd.net/i/abc_live03@423397/master.m3u8
ABC News Digital 4,https://abclive1-lh.akamaihd.net/i/abc_live04@423398/master.m3u8
ABC News Digital 5,https://abclive1-lh.akamaihd.net/i/abc_live05@423399/master.m3u8
ABC News Digital 6,https://abclive1-lh.akamaihd.net/i/abc_live06@423400/master.m3u8
ABC News Digital 7,https://abclive1-lh.akamaihd.net/i/abc_live07@423401/master.m3u8
ABC News Digital 8,https://abclive1-lh.akamaihd.net/i/abc_live08@423402/master.m3u8
ABC News Digital 9,https://abclive1-lh.akamaihd.net/i/abc_live09@420891/master.m3u8
Action News Jax (WJAX-TV),http://svc-lvanvato-cxtv-wjax.cmgvideo.com/wjax/2564k/index.m3u8
Action News Now (KHSL-TV),http://api.new.livestream.com/accounts/26511688/events/7954874/live.m3u8
Action Sports 4U,https://nimble.dashmedia.tv/onestudio/actionsportstv/playlist.m3u8
ACTV,http://granicusliveus12-a.akamaihd.net/azleg/G0247_012/chunklist.m3u8
Adult Swim,https://adultswimtv.warnermediacdn.com/hls/live/2007031/livestream/master_Layer7.m3u8
Akaku 53 (Hawaii),https://akaku.vod.castus.tv/live/ch1.m3u8
Akaku 54 (Hawaii),https://akaku.vod.castus.tv/live/ch2.m3u8
Akaku 55 (Hawaii),https://akaku.vod.castus.tv/live/ch3.m3u8
AKC TV,https://video.blivenyc.com/broadcast/2061/22/file-858k.m3u8
AKC TV,https://video.blivenyc.com/broadcast/prod/2061/22/desktop-playlist.m3u8
AKC TV,https://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
Al Horreya TV,http://media.smc-host.com:1935/alhorreya.tv/_definst_/mp4:alhorreya3/playlist.m3u8
Al Horreya TV,http://media.smc-host.com:1935/alhorreya.tv/_definst_mp4:alhorreya3/playlist.m3u8
Al Hurra,http://mbnhls-lh.akamaihd.net/i/MBN_1@118619/master.m3u8
